[2025-06-09 09:24:35:527]  DateTime 타이머 초기화 완료
[2025-06-09 09:24:35:806]  Server message: 192.168.1.40:3000 Server Ready!
[2025-06-09 09:24:35:818]  N_Read 값이 6로 변경되었습니다.
[2025-06-09 09:24:35:826]  Dataman 카메라에 리딩 갯수 6 설정 완료
[2025-06-09 09:24:37:320]  구간 1에 바코드 'Index1' 배치 (x좌표: 273)
[2025-06-09 09:24:37:321]  구간 2에 바코드 'Index2' 배치 (x좌표: 616)
[2025-06-09 09:24:37:321]  구간 3에 바코드 'Index3' 배치 (x좌표: 953)
[2025-06-09 09:24:37:321]  구간 4에 바코드 'Index4' 배치 (x좌표: 1280)
[2025-06-09 09:24:37:321]  구간 5에 바코드 'Index5' 배치 (x좌표: 1600)
[2025-06-09 09:24:37:322]  구간 6에 바코드 'Index6' 배치 (x좌표: 1899)
[2025-06-09 09:24:37:322]  이미지 폭: 2048, 구간 크기: 341.3333, 총 구간 수: 6
[2025-06-09 09:24:37:324]  === 최종 처리된 바코드 데이터 (x축 기준 정렬) ===
[2025-06-09 09:24:37:324]  구간 1 (x: 0.0~341.3): Index1
[2025-06-09 09:24:37:324]  구간 2 (x: 341.3~682.7): Index2
[2025-06-09 09:24:37:324]  구간 3 (x: 682.7~1024.0): Index3
[2025-06-09 09:24:37:324]  구간 4 (x: 1024.0~1365.3): Index4
[2025-06-09 09:24:37:324]  구간 5 (x: 1365.3~1706.7): Index5
[2025-06-09 09:24:37:325]  구간 6 (x: 1706.7~2048.0): Index6
[2025-06-09 09:24:37:325]  총 6개 구간 처리 완료
[2025-06-09 09:24:37:363]  DataGridView 데이터가 C:\Users\ASUS\Desktop\SaveData\Data\DataLog_2025-06-09.csv에 저장되었습니다.
[2025-06-09 09:24:37:364]  바코드 전용 DataGridView 업데이트 완료 - 6개 행 추가
[2025-06-09 09:24:37:383]  매칭 실패/NG 이미지 저장 완료: C:\Users\ASUS\Desktop\SaveData\SaveImages\2025-06-09\Failure_20250609_092437_371.jpg
[2025-06-09 09:24:38:490]  구간 1에 바코드 'Index1' 배치 (x좌표: 274)
